State,Total Lightning in 2019,Average Total Lightning (2015-2019)
Alabama,3970233,5773460
Alaska,383291,178190
Arizona,1841300,3218418
Arkansas,7442101,7751123
California,432207,573698
Colorado,3704799,3624165
Connecticut,87830,75534
Delaware,180209,158376
D.C.,8005,7195
Florida,13049687,13989300
Georgia,5027333,6200040
Hawaii,11893,34560
Idaho,635686,531612
Illinois,8138020,7332826
Indiana,2867912,3313921
Iowa,5847072,5403453
Kansas,13804461,10877294
Kentucky,4128159,5066943
Louisiana,8102341,9755992
Maine,136335,140194
Maryland,874327,818854
Massachusetts,81569,72605
Michigan,1911278,1674197
Minnesota,3851896,3514736
Mississippi,5879270,7062020
Missouri,13415285,11001683
Montana,4615334,3279453
Nebraska,7950231,7075965
Nevada,721732,819506
New Hampshire,65903,73567
New Jersey,425948,280137
New Mexico,5124315,5801425
New York,888031,874719
North Carolina,3641417,3822814
North Dakota,3188018,3218965
Ohio,2656035,2687381
Oklahoma,14772145,14945260
Oregon,438082,299376
Pennsylvania,2235310,1709831
Rhode Island,12364,10538
South Carolina,3168624,3104288
South Dakota,5049342,5246220
Tennessee,4564958,4943089
Texas,47397975,41083472
Utah,801457,1040446
Vermont,66240,85269
Virginia,2924380,2784901
Washington,258368,140259
West Virginia,1140587,1198725
Wisconsin,2081049,1922736
Wyoming,3383728,2632030
